SYSTEM,WATERWAY,SITE,TRANSECT,SUB_TRANS,METRES,SPECIES,ORIGIN,HITS,HEIGHT,DATE,SURVEY
Campaspe,Campaspe,Doaks,4,F,5,Litter,ground,35,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Bare,ground,5,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,F,5,Cynodon dactylon var. dactylon,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Litter,ground,37,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Bare,ground,3,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Log,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Rock,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Water,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Tree,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Moss/Lichen,ground,0,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,G,6,Nassella spp.,exotic,2,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,H,7,Litter,ground,21,0_1m,30/01/2017,2
Campaspe,Campaspe,Doaks,4,H,7,Bare,ground,19,0_1m,30/01/2017,2
